latest_date,latest_country,previous_date,previous_country,Note
2016-07-30,CN,2016-07-22,US,Every 10 days
2016-07-22,US,2016-07-12,CN,
2016-07-12,CN,2016-07-02,US,
2016-07-02,US,2016-06-22,CN,
2016-06-22,CN,2016-06-12,US,
2016-06-12,US,,,
2016-07-28,TR,2016-07-27,TR,Every 5 days
2016-07-27,TR,2016-07-22,TR,
2016-07-22,TR,2016-07-17,US,
2016-07-17,US,2016-07-12,US,
2016-07-12,US,2016-07-07,US,
2016-07-07,US,2016-07-02,TR,
2016-07-02,TR,2016-06-27,TR,
2016-06-27,TR,,,
2016-07-31,IR,2016-07-30,IR,Every 2 days
2016-07-30,IR,2016-07-28,IR,
2016-07-28,IR,2016-07-26,IR,
2016-07-26,IR,2016-07-24,IR,
2016-07-24,IR,2016-07-22,IR,
2016-07-22,IR,2016-07-20,IR,
2016-07-20,IR,2016-07-18,IR,
2016-07-18,IR,2016-07-16,IR,
2016-07-16,IR,2016-07-14,IR,
2016-07-14,IR,2016-07-12,IR,
2016-07-12,IR,,,
2016-08-01,CN,2016-07-31,CN,Every day
2016-07-31,CN,2016-07-30,CN,
2016-07-30,CN,2016-07-29,CN,
2016-07-29,CN,2016-07-28,CN,
2016-07-28,CN,2016-07-27,CN,
2016-07-27,CN,2016-07-26,CN,
2016-07-26,CN,2016-07-25,CN,
2016-07-25,CN,2016-07-24,CN,
2016-07-24,CN,2016-07-23,CN,
2016-07-23,CN,2016-07-22,CN,
2016-07-22,CN,2016-07-21,CN,
2016-07-21,CN,2016-07-20,CN,
2016-07-20,CN,2016-07-19,CN,
2016-07-19,CN,2016-07-18,CN,
2016-07-18,CN,2016-07-17,CN,
2016-07-17,CN,2016-07-16,CN,
2016-07-16,CN,2016-07-15,CN,
2016-07-15,CN,,,
2016-07-25,BR,2016-07-02,BR,every month
2016-07-02,BR,2016-06-02,BR,
2016-06-02,BR,,,
2016-06-05,AR,,,
